Circle,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,M ar-22,Apr-22,M ay-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,M ay-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24
Andhra Pradesh,31209452,31286146,31579675,31587488,31190281,31491800,31488708,31488518,31502909,31427574,31627621,31772224,31695256,31667876,31718778,31714013,31790560,31903817,32030088,32070375,32162430,32281239,32396047,32585319,32726923,32825826,32868796,32891472,33066170,33270096,33447633,33567911,33705865,33802323,33956561,34058016,34191736,34278674
Assam,9035945,9100301,9238358,9379532,9255195,9396665,9536464,9563472,9666469,9748438,9813893,9863684,9917783,9984555,10043796,10097079,10178237,10213758,10279519,10363761,10452354,10517872,10589991,10664832,10763036,10894143,11024820,11115877,11162550,11173942,11213760,11423182,11502422,11568049,11577206,11664452,11707089,11775447
Bihar,35720188,35605997,35992515,36139628,35665088,36148989,36548063,36455259,36289924,36102624,36212977,36617800,36786692,37096283,37414631,37549526,37861463,38301968,38816333,39154621,39412927,39592720,39709407,39792839,39903046,39988039,40398758,40396380,40504866,40680224,40796069,40720377,40744818,40772598,41162448,41338680,41364971,41603936
Delhi,17646632,17726552,17985973,17908063,17683641,17796818,17457474,17437791,17500536,17508623,17584477,17810286,17861535,17947107,18008983,17992628,18016012,18027028,18091751,18165770,18264366,18390119,18554463,18715461,18869053,18984606,19040023,19063059,19127626,19219386,19313726,19413402,19684168,19803534,19954926,20030933,20099385,20208681
Gujarat,11765563,12107067,12218353,12294323,12136971,12237234,12210129,12101086,11978573,11881446,11840130,11848593,11779401,11926955,12139291,12144519,12045206,11782970,11665374,11537742,11419764,11409155,11458942,11575706,11601503,11620166,11566287,11566897,11589309,11636454,11695298,11749916,11812636,11750838,11857351,11952936,12025237,12081440
Haryana,5200198,5417240,5511083,5610259,5537878,5599347,5655144,5689384,5723136,5720243,5746223,5797977,5845928,5908015,5969901,6009908,6039501,6265273,6302580,6344972,6399888,6475082,6551736,6585546,6608936,6618530,6665476,6662245,6669801,6685574,6775513,6802649,6851713,6906858,6959648,7064004,7081892,7140458
Himachal Pradesh,3383829,3341977,3363193,3300897,3258052,3289031,3296585,3314396,3327816,3323832,3328678,3346476,3323549,3312278,3317454,3314762,3315326,3326006,3322292,3353225,3371617,3400640,3412233,3418036,3413101,3409588,3428916,3420801,3429102,3445168,3484347,3561972,3571052,3562948,3566157,3573662,3574659,3579028
J & K,5643053,5594198,5623564,5547909,5476673,5521688,5490437,5505631,5543478,5536986,5549194,5619998,5606140,5627734,5672350,5731956,5797699,5839692,5881766,5896250,5935521,5907890,5891065,5869411,5841268,5828936,5868192,5908574,5951417,6008339,6052807,6000541,6032513,6031406,6006726,5997390,5993137,6001403
Karnataka,30806961,31196265,31437286,31169758,30775384,30989179,30850474,30927426,31117308,31131415,31256739,31391768,31423730,31525475,31584967,31603302,31600131,31716748,31772077,31851518,31904380,31964832,32072746,32189453,32253500,32269775,32282571,32319888,32453180,32689079,33002597,32976289,32867125,32826695,33019233,33142255,33220629,33292120
Kerala,6666609,6791984,6861030,6881143,6791475,6906566,7186469,7325671,7452301,7535120,7638246,7730470,7759305,7785688,7813490,7826109,7854418,7879253,7909057,7890905,7905179,7927263,7988880,8030080,8055758,8075977,8081362,8094128,8138463,8186681,8253573,8411623,8451337,8459001,8513360,8574928,8617962,8647877
Kolkata,6151757,6067728,6069367,5964752,5884143,5925987,5833937,5773051,5714869,5658076,5660088,5718269,5774593,5851992,5879752,5886342,5887063,5874777,5880404,5856749,5864702,5866215,5878287,5881352,5873741,5888036,5898641,5886020,5840379,5846425,5839457,5844065,5887409,5888678,5889191,5897866,5884855,5890972
Madhya Pradesh,15233071,15507094,15688963,15735539,15533893,15691973,15822380,15849086,15777331,15774244,15740009,15543755,15482302,15433756,15435479,15550118,15582316,15649693,15715712,15725782,15733303,15687501,15626373,15630685,15669812,15765381,15864196,15813572,15829126,15946221,16056702,16154789,16227026,16254789,16320499,16423788,16521466,16643383
M aharashtra,18370940,19009633,19264514,19516666,19267062,19551051,20040119,20214453,20312514,20388842,20458484,20275014,20380936,20405952,20550903,20559765,20645769,20734852,20747034,20752304,20872731,20983282,21160434,21288580,21397979,21446538,21534763,21527546,21561458,21622751,21700667,21737457,21759835,21737509,21892360,21997722,22075374,22163267
M umbai,10414996,10421135,10486101,10081066,9957456,10025802,9887930,9892100,9911818,9868931,9883310,9919444,9987960,10092527,10171684,10203181,10150218,10007300,9858998,9850581,9888461,9965025,9940052,10001254,10298057,10375700,10386212,10395836,10578901,10495993,10551370,10586292,10578252,10517116,10587203,10586579,10580686,10607980
North East,5403782,5374480,5430407,5434984,5363803,5415783,5383492,5389862,5437472,5465771,5504889,5541403,5560199,5589232,5628807,5673080,5705140,5733657,5744822,5749887,5780529,5798015,5813244,5836711,5859987,5895394,5934222,5959686,5964169,5991059,6015633,6054529,6114788,6122437,6144465,6217335,6214956,6237691
Odisha,11046137,11113045,11177746,11194259,11047738,11160980,11176558,11074630,10990316,10871307,10986849,11054462,11063924,11004185,11069813,11067976,11140038,11181653,11214048,11236017,11303234,11360708,11390946,11381082,11308362,11165546,11185393,11272875,11330083,11385490,11447725,11464534,11454678,11461612,11502065,11506312,11547037,11606793
Punjab,11008866,11687755,11804499,11733829,11586173,11680485,11618858,11607154,11651856,11650735,11753411,11877650,11900520,11981860,12096417,12188736,12185764,12191153,12186856,12223945,12253258,12308446,12383950,12445199,12482424,12508803,12526842,12494763,12507249,12507425,12548059,12586872,12651618,12696686,12747855,12796706,12809058,12862157
Rajasthan,22006713,21886732,22037493,21889827,21604291,21829712,21839500,21779216,21706653,21635590,21632492,21565813,21636190,21746930,21959069,21983177,22057519,22154796,22197320,22324516,22280994,22152668,22036799,22163700,22336259,22480340,22633125,22716724,22948051,22928366,23039319,23218870,23204628,23248942,23217680,23335605,23462996,23524743
Tamil Nadu,27058927,27134444,27664151,27953977,27598345,27804914,27727258,27965417,28223037,28304028,28494302,28673491,28662092,28250187,28075200,28000357,27897574,27791403,27838475,27790748,27888574,27998097,28186634,28351692,28450484,28550957,28607177,28658907,28732779,28887093,29105538,29352648,29592078,29659569,29852485,29997064,30051837,30169511
U.P.(E),34099243,34777871,35354916,35773072,35303014,35862089,36708230,36699532,36665730,36562447,36662620,36089101,36150253,36758095,37253854,37427601,37599301,37423833,36898296,36652747,36312904,36311147,36345372,36597060,36651349,36796692,36857799,36721970,36810648,37027022,36900123,36979086,37071050,37012589,36993823,37257937,37139942,37320503
U.P.(W ),16129520,16645626,16988652,17294851,17066954,17380390,17912297,17968373,17975891,18013880,18154485,17923578,18120221,18362229,18595575,18629292,18724532,18762277,18867116,18852796,18788389,18734553,18697564,18660021,18665691,18662246,18534068,18419556,18446598,18438280,18433651,18324639,18431594,18496912,18686256,18800335,18832579,18912352
W est Bengal,15241724,15249529,15394227,15356786,15155590,15342722,15447332,15342610,15295963,15252023,15282211,15369706,15440662,15583324,15781370,15915450,16070699,16235000,16339802,16359837,16428995,16502273,16636459,16730667,16763571,16823802,16870706,16932051,17051069,17165519,17230588,17306797,17511697,17626594,17704171,17829944,17902917,18037126
