Circle,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,M ar-22,Apr-22,M ay-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,M ay-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24
Andhra Pradesh,16063272,15872931,15803660,15643705,15375924,15145429,15017363,14958783,14830001,14650874,14479613,14303791,14157476,13867215,13757652,13604169,13526386,13429504,13075654,13031943,12567110,12373563,12261765,12131801,12071534,11963986,11840410,11690678,11515030,11426640,11351218,11258527,11067397,10974666,11017098,10959901,10918562,10901622
Assam,3292275,3238770,3206899,3168883,3133033,3063881,2988390,2945962,2899814,2847795,2812109,2754795,2637449,2570812,2504079,2480558,2450360,2413690,2367614,2319634,2267014,2205959,2172664,2131203,2034671,2016951,2005262,1983392,1940169,1914663,1865257,1840282,1805744,1775753,1742260,1691831,1640840,1596478
Bihar,12243666,12124013,12115513,12009112,11664499,11305381,11142289,11078167,10975517,10879391,10749630,10579000,10379467,10316326,10191374,10100645,10183481,10103359,10130628,10117062,9961622,9702403,9535876,9198021,9044909,8548783,8395363,8284511,8136178,8060586,8009888,7945451,7843116,7762636,7720732,7687975,7638109,7618948
Delhi,15597044,15924706,16305525,16218989,16067616,16016954,16066255,15897290,15905670,15871025,15909184,16081262,16190509,16138657,16214717,16470829,16432386,16508392,16525376,16614196,16701085,16754521,16862935,16961804,17007967,16980323,16947677,16732576,16591733,16429282,16379805,16637601,16662594,16580662,16638879,16673705,16632476,16603402
Gujarat,25039225,25118348,25293896,25212194,25062588,24825479,24673895,24499003,24350597,24251651,24114389,23833646,23887749,23911848,23831215,23874006,23895139,23887257,23794297,23730782,23315869,23028739,22861834,22587294,22507450,22300856,22276207,22195446,21991293,21880518,21788332,21715176,21567969,21260927,21142994,21004576,20927125,20894395
Haryana,8058403,8119020,8256568,8241547,8226614,8085995,8085819,8052746,8027522,7962969,7896451,7912399,7889279,7918432,7833770,7806131,7798395,7797220,7801164,7772095,7729842,7633951,7567659,7563942,7437864,7380399,7350852,7300907,7255317,7235515,7142867,7059965,6980257,6920854,6884721,6848470,6797577,6765387
Himachal Pradesh,704019,683471,674391,663268,646992,631388,619681,612947,605179,597954,589802,581936,562800,568605,558431,554283,547049,539072,535381,528305,521510,511015,505701,496175,485496,480871,468099,458158,442789,433562,425939,417821,412624,408530,405692,404560,402647,401257
J & K,506733,497391,499253,498872,484944,473157,466086,469335,454075,446906,490315,460424,456474,435927,430051,433830,437242,416977,427494,428168,414450,408714,399223,387496,377641,367617,362930,353944,335737,322894,315717,310946,308237,304946,302050,302083,299956,296719
Karnataka,9303966,9277468,9305495,9182782,8941031,8658816,8635847,8669419,8630299,8554955,8459438,8342959,8077726,7944187,7761488,7728153,7699529,7605191,7647383,7566332,7814104,7794385,7914107,7756645,7557173,7475511,7385105,7021691,6929724,6825409,6790474,6799734,6719689,6744279,6685002,6616997,6639334,6629011
Kerala,17357282,17290289,16943094,17227324,17030392,16741451,16526057,16515773,16559497,16585560,16508476,16417157,16338234,16172692,15962340,15761312,15476959,15285500,15127913,15085788,14997612,14885559,14782627,14691080,14667774,14600418,14477760,14362569,14252980,14210798,14157344,14120757,14035312,13833161,13760666,13710517,13664501,13594437
Kolkata,6881950,6885946,7018400,6989859,6636138,6551028,6499102,6492490,6472686,6417640,6365474,6323468,6250647,6148860,6089294,6108151,6105183,6093618,6075337,6039092,6007390,5962424,5944655,5890334,5892403,5880031,5845218,5801514,5701410,5653218,5605242,5586861,5581650,5437130,5490204,5436545,5360700,5334727
Madhya Pradesh,21414555,21397311,21633211,21484010,21113390,20858315,20852642,20898958,20790353,20729609,20574381,20471101,20693575,20318084,20000708,19789948,19872323,19568390,19429829,19191768,18348219,17897693,17666168,17404112,17436649,17297022,17224464,17046106,16978498,16844412,16649250,16492946,16289208,16101869,16000566,15889786,15747283,15690557
M aharashtra,32650599,32319395,32261992,31851769,31311437,30739386,30328845,29826405,29398534,29059913,28925822,28690225,29342242,29327418,28739706,28284456,28046949,27782247,27492616,26935023,26378194,25811719,25251547,24984072,24835202,24512877,24426021,24172791,23853204,23706113,23570311,23455557,23381362,23273795,23109036,22934270,22634414,22402067
M umbai,9032302,10595911,11447088,11273874,11216439,11266482,11491054,11634038,11692415,11733300,11713159,11695770,11956730,11952932,11944284,11918912,11982841,11880793,11768956,11706147,11615103,11691005,11609833,11538777,11411443,11542969,11592698,11439557,11335309,11302820,11310638,11309983,11314679,11377294,11422495,11418287,11281302,11150877
North East,1452643,1428627,1407636,1376699,1349290,1325526,1302335,1287646,1268845,1247952,1235675,1217401,1149583,1120909,1099667,1092517,1086077,1076999,1062554,1037269,1023574,1005189,990567,935579,952403,946493,941646,929445,917943,922190,907980,892500,867284,847266,832436,811946,791095,772286
Odisha,2488625,2423901,2371180,2321473,2260417,2196124,2131791,2093164,2076108,2040170,2034823,2006450,1946937,1887462,1833654,1791639,1771290,1731121,1708630,1684378,1681814,1649816,1657577,1651843,1648999,1642554,1634359,1600579,1584810,1601800,1571945,1566430,1540360,1528167,1530060,1504570,1481611,1457315
Punjab,8626536,8630688,8685453,8722731,8611934,8503987,8560549,8783430,8866715,9006845,8934212,8873181,8668681,8620760,8548905,8419792,8436938,8347207,8304564,8212760,7642350,7546055,7469304,7388978,7310991,7261593,7187356,7106209,6959951,6902338,6834004,6781326,6721553,6597641,6598901,6547398,6507739,6496893
Rajasthan,12177964,12247579,12256496,12169881,11986048,11789040,11694480,11663619,11640114,11570467,11527920,11478611,11394312,11199154,11089654,11044374,10997227,10906531,10850942,10765605,10624600,10416168,10364778,10422034,10348788,10315877,10277245,10165684,10005579,9872551,9786331,10460431,11273564,11352085,11144705,11020909,10800702,10752695
Tamil Nadu,19052094,19116848,19320954,19306560,19050864,18689524,18500896,18507133,18460140,18306358,18196082,18066956,17799728,17936383,17967191,17790468,17742611,17692358,17676906,17592578,17482175,17259339,17325986,17180976,16948609,16827225,16721412,16491032,16374314,16333491,16308568,16300587,16254417,16136563,16126276,15994313,15890070,15741468
U.P.(E),23269441,22936163,22713715,22382548,21970356,21366311,21228574,20939142,20804801,21075627,20568933,20551926,20753240,20958998,20559835,20363886,20250860,20176039,20086253,19927232,19625739,19348269,19316209,19040422,19037594,18823294,18787962,18706773,18315370,18352614,18243665,18106676,17928400,17663405,17462331,17394495,17382397,17384730
U.P.(W ),20094132,19951009,19769763,19506652,19190353,19091362,19208931,19332838,19350511,19278439,19126681,19036318,19146700,19031026,18766992,18679003,18573129,18409939,18307151,18107421,17882217,17535922,17263243,17076892,17058027,16929009,16853868,16340391,16185565,16121513,16065388,16039892,15900083,15753157,15628642,15569959,15551861,15584740
W est Bengal,17175365,17065593,16944772,16969051,16827522,16550476,16435706,16472620,16496810,16482307,16450005,16369300,15979166,15804776,15662203,15702297,15721002,15665526,15561524,15410437,15221998,14912704,14804390,14621389,14603583,14577331,14451732,14272767,14029574,13984037,13929662,13840638,13734542,13529717,13451550,13315590,13230598,13174524
