Circle,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,M ar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,M ay-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24
Andhra Pradesh,31713440,31884326,32328638,32481644,32552627,32676369,32954173,33009221,31915905,31836860,31916921,30590159,29787667,29499173,29470436,29512051,29859583,30099779,30330508,30535950,30511094,30608946,30800113,30971145,31248497,31274544,31339109,31547085,31777384,31812673,32082271,32337971,32602349,32939088,33257990,33494609,33787840,34016552
Assam,9012428,9136120,9291130,9435817,9506459,9598285,9717059,9715596,8765420,8812971,8716478,8553570,8428837,8361528,8392599,8498816,8414080,8361171,8527749,8538443,8549559,8619494,8677461,8760969,8862225,8906387,8952100,9026616,9090913,9106814,9188781,9208596,9214530,9302854,9374937,9455052,9639024,9933511
Bihar,31629468,31845147,32615139,32775762,33191801,33713908,34209000,34248474,34309290,34374113,34827383,34378010,33647331,33414766,33538071,34070118,34610027,35260495,35425387,35878588,36273573,36445391,36683624,36636768,36596401,36691008,37157668,37788076,38110975,38416061,38810518,39208857,39655421,39774404,40119794,40485002,41028662,41192225
Delhi,19450483,19720950,20003903,20348544,20421239,20572218,20798846,20825271,19081945,19303357,19140017,18892943,18408104,18300821,18369939,18536890,18652211,18858653,18876781,18944079,19049701,19048536,19091385,19283425,19401757,19566291,19682459,19821784,19963251,20042868,20152493,20285627,20426066,20541152,20644468,20731924,20975237,21203250
Gujarat,25715124,25862696,26390634,26756159,27046265,27604744,28202384,28256820,27168894,27487251,27680753,26756370,26302904,26117368,26332139,26324986,26530480,26833188,27008776,27169652,27237070,27315956,27458552,27512133,27550789,27720681,28158345,28318873,28477763,28463980,28633808,28928643,29150052,29268011,29651987,30032630,30380383,30704564
Haryana,9045343,9110887,9208125,9232828,9315625,9455199,9613703,9656116,9398577,9421485,9357412,9025617,8668975,8610609,8601065,8692659,8215526,8470253,8182963,8087078,8064305,8070923,8118795,8123539,8158802,8197415,8275185,8268409,8345032,8336278,8449605,8518619,8560715,8621443,8640044,8702228,8767929,8821287
Himachal Pradesh,4055823,4097742,4144012,4193990,4216391,4267567,4330840,4358147,3781335,3802400,3856378,3711752,3617161,3584763,3552238,3568448,3361574,3232070,3287769,3292750,3337883,3333007,3372078,3332255,3365747,3350200,3362250,3344664,3366773,3364291,3380417,3379801,3390606,3405057,3391382,3389701,3400664,3402251
J & K,4593126,4670537,4725875,4732441,4738301,4761471,4808305,4809422,4528276,4508102,4555467,4566498,4595131,4631100,4706194,4812104,4900314,4867606,4975051,5058624,5112567,5148643,5175803,5219188,5247788,5203796,5227727,5226897,5292211,5343060,5422497,5367553,5395499,5394952,5371516,5377952,5307635,5270318
Karnataka,21188634,21374861,21837195,22069531,22133875,22216594,22425090,22485645,21310683,21311833,21295392,21058650,20267410,20074345,20017092,20280933,20624740,20773282,20959150,21142786,21247675,21312530,21630830,21766941,22007026,22100953,22248643,22483025,22816407,23043489,23332496,23651288,23827917,24042761,24289968,24550889,24802824,25081124
Kerala,9996458,10129303,10269380,10414732,10475396,10768890,11050492,11092466,9575059,9563364,9726458,9721330,9451196,9368586,9320498,9416922,9541252,9657016,9769476,9871232,9951010,9951469,10080142,10126276,10238746,10254659,10306777,10364723,10448333,10527210,10622137,10731586,10820626,10936159,11013501,11127492,11221481,11254665
