Circle,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,M ar-22,Apr-22,M ay-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,M ay-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24
Andhra Pradesh,10251511,10231420,10248199,10163749,9860161,9807233,9710988,9739532,9733176,9795586,9865989,9935908,9975499,9991992,9992131,9921777,9840362,9692213,9653767,9654034,9473854,9457223,8971015,8832840,8833964,8757885,8687709,8661452,8565053,8173245,7542044,7253329,7170015,7062566,7051685,7045053,7072393,7098165
Assam,3065487,3091962,3115272,3129946,3157422,3166246,3177549,3189826,3201661,3215305,3230109,3251511,3273556,3291974,3313917,3325926,3341411,3356531,3374154,3396965,3421689,3444622,3406457,3417966,3428541,3435565,3294997,3302107,3301192,3297885,3298596,3297526,3294323,3288292,3237922,3237461,3232789,3230519
Bihar,6099913,6011510,5976165,5876478,5905332,5818262,5776833,5774138,5723858,5676349,5632891,6234013,5591797,5464856,5606608,5657911,5697870,5750313,5788624,5806480,5830361,5852938,5896623,5876432,5922955,5948019,5958737,5997740,6001666,6028111,5963064,5548277,5561043,5570743,5354503,5377843,5351116,5367359
Delhi,3496888,3489301,3480472,3476651,3474045,3470604,3465857,3461571,3455952,3452269,3449234,3445589,3442856,3440202,3436814,3421707,3415912,3413002,2952163,2947338,2941255,2935988,2891558,2788421,2767435,2747690,2715461,2708369,2705403,2704555,2703072,2698189,2695955,2690514,2687565,2684618,2681725,2678634
Gujarat,6397219,6387623,6373065,6341844,6355125,6206666,6213346,6133380,6133560,6037033,5995774,5983985,6004451,6001449,5977983,5964385,5931298,5884162,5796074,5724108,5649197,5583733,5534456,5483075,5430119,5392903,5366228,5394238,5350576,5366735,5289796,5218390,4705475,4701762,4695985,4698833,4024540,4031295
Haryana,5157717,5190771,5182235,5137457,5173090,5140792,5140671,5154912,5133200,5168445,5145155,5191184,5111138,5131476,5120785,5081494,4915237,4917118,4859628,4819659,4911052,4897911,4896335,4822901,4830541,4784167,4777087,4761648,4645950,4673212,4623660,4483030,4413026,4445586,4503292,4522871,4573406,4520018
Himachal Pradesh,3097412,3089703,3097313,3086485,3082814,2770855,2770312,2783020,2790359,2794533,2799252,2819410,2843551,2864479,2861989,2819343,2826665,2810392,2787524,2746168,2701723,2702534,2614614,2479013,1692293,1668052,1681109,1686599,1692446,1699720,1704581,1696336,1692505,1630392,1635092,1637732,1614774,1619097
J & K,1351165,1351049,1357627,1356813,1386965,1379089,1388147,1393345,1415299,1420267,1419333,1418756,1424773,1425354,1422497,1422392,1422209,923615,925732,927483,924577,924310,921374,918686,916789,915159,914396,915297,911468,914924,919209,918132,905831,897016,887945,876613,868609,862792
Karnataka,8009428,7963159,7935548,7872072,7985453,7971919,7919347,7925312,7933377,7904132,7824142,7754930,7811497,7733350,7738030,7746728,7669830,7633189,7578024,7483030,7451443,7392901,7396900,7378616,7213938,7066201,6864843,6580624,5979474,5954276,5729957,5264340,4940905,4852249,4791629,4749200,4776421,4711300
Kerala,12025457,11985321,11945660,11905103,12092310,11997906,12007441,11858319,11802025,11798341,11745236,11775958,11736266,11624574,11574474,11493435,11445588,11350332,11314085,11215773,11144030,11034634,10994382,10975581,10944018,10944689,10904655,10794553,10730622,10731245,10737618,10749660,10646974,10558773,10470477,10357583,10371397,10258358
Kolkata,2855111,2812437,2853004,2757863,2781411,2716000,2783408,2784847,2785859,2734124,2631540,2672641,2711421,2605174,2642699,2655263,2367082,2378700,2393130,2400019,2384279,2363804,2369770,2376309,2381151,2382683,2381482,2379225,2380077,2381838,2370383,2370208,2372131,2344709,2317306,2209185,2173967,2065728
Madhya Pradesh,6568312,6521711,6565984,6457074,6503506,6398654,6347115,6366822,6306211,6300820,6259077,6305557,6327646,6316738,6307988,6186909,6170163,6091532,6004894,5940036,5887404,5798438,5763836,5704386,5675313,5620304,5608565,5542489,5480536,5433386,5384558,5316292,5221958,5176662,5112204,5050534,4984503,4950094
M aharashtra,7691944,7653452,7561542,7483424,7563797,7494645,7460453,7395280,7348970,7387117,7344344,7363301,7376107,7378760,7358339,7221458,7303509,7293432,7132122,7157593,7028315,7051798,7025981,7053178,7086938,6985059,6925432,6847181,6756064,6786433,6801635,6696586,6701265,6540729,6484257,6407384,6436800,6359618
M umbai,2753979,2737503,2719138,2706026,2695838,2679553,2662656,2638268,2618085,2598534,2595423,2566280,2545107,2520764,2505475,2488474,2475009,2458333,2440915,2431875,2413684,2401676,2389205,2378724,2366893,2357335,1947262,1738046,1727851,1564529,1523606,1510572,1500387,1488960,1480436,1467638,1461160,1446208
North East,1392194,1442021,1438303,1419016,1455987,1450967,1457489,1441818,1437239,1435667,1431902,1435817,1436013,1436711,1438788,1459775,1491944,1490998,1482888,1475396,1466225,1461537,1455238,1448977,1445781,1441023,1438212,1438987,1430488,1354668,1345294,1339713,1333582,1325693,1318574,1324067,1315908,1314276
Odisha,6614503,6576981,6624290,6536773,6600852,6612689,6625291,6584008,6540935,6475410,6439453,6421014,6462463,6424329,6451369,6467652,6476253,6477893,6483093,6494297,6504540,6493457,6497020,6491910,6480380,6396006,6396762,6399369,6383970,6379968,6374061,6378056,5923690,5897408,5613699,5602162,5597943,5593213
Punjab,6094176,6022739,5986992,5876602,5764533,5677521,5651041,5605428,5651573,5618187,5566081,5598068,5604205,5622186,5615384,5646367,5546006,5494574,5461841,5386066,5364567,5364673,5310598,5255844,5186940,5145440,5115342,5002080,4953375,4946429,4845261,4627578,4508670,4418315,4391645,4493610,4644783,4560353
Rajasthan,6637354,6645175,6645355,6540584,6467726,6335983,6294685,6273233,6341265,6408364,6479122,6635933,6690690,6729728,6837467,6771423,6771072,6727936,6714035,6700180,6675099,6663213,6638730,6573297,6511920,6442345,6390595,6300309,6204885,6120190,6021390,5841374,5947151,5967040,5905895,5923346,5925768,5940874
Tamil Nadu,11881995,11757055,11856046,11575416,11683819,11814386,11615312,11758797,10941940,10921240,10968871,10981594,11069184,11167343,10691274,10805211,10767282,10855920,10610736,10539980,10522223,10521634,10517847,10618000,10687177,10740387,10850571,10858303,10143920,8689215,8616046,8551269,8510798,8466529,8438797,8407363,8400831,8851676
U.P.(E),11796226,11727089,11642244,11519552,11444927,11381299,11313503,11323823,11323807,11314387,11310507,11322512,11311148,11257122,11194142,11113123,11062860,10944055,10860143,10786341,10512675,10288546,9922267,9574277,9137092,8695048,8752423,8784841,8822336,8856480,8774788,8616377,8215837,8248079,8216580,8365060,8105325,7970500
U.P.(W ),6010642,5961720,6022423,5984619,5978691,5924972,5900914,5899411,5882790,5873745,5854390,5908870,6014049,6094419,6152264,6077152,6037581,5981799,5953528,5924218,5897781,5836768,5803483,5768027,5713697,5680856,5624924,5551837,5489608,5487211,5474222,5445683,5135170,5124297,5111503,5116860,5110090,5105525
W est Bengal,2654758,2726890,2751819,2750381,2775600,2766617,2767329,2783294,2801727,2818584,2836972,2889595,2778625,2830314,2899317,2921684,2932706,2602187,2609034,2617718,2630031,2648092,2663606,2671692,2690234,2721019,2752288,2663890,2675128,2677926,2684452,2558109,2555457,2561210,2565732,2516621,2520723,2502354
