Circle,Airtel,Jio,Voda,Mb
Andhra Pradesh,135.5408333,126.145,38.2225,22.57583333
Assam,34.42916667,39.81916667,5.224166667,2.4275
Bihar,95.4075,144.0416667,8.156666667,2.985833333
Delhi,63.25833333,75.34916667,25.9,2.17
Gujarat,50.36,108.8866667,69.85583333,10.40416667
Haryana,24.30916667,34.28416667,15,1.640833333
Himachal Pradesh,12.36166667,16.48416667,1.244166667,1.789166667
J & K,21.12333333,21.845,0.960833333,2.111666667
Karnataka,132.0933333,77.3525,23.91166667,11.62083333
Kerala,34.52833333,47.7875,58.02916667,13.91583333
Kolkata,19.81333333,25.4775,16.57666667,5.225833333
Madhya Pradesh,52.83166667,149.9116667,36.74583333,5.143333333
M aharashtra,96.09916667,157.6358333,75.2425,8.9775
M umbai,38.38166667,43.7775,34.75083333,5.390833333
North East,24.09,19.09833333,2.629166667,1.355
Odisha,35.215,60.84833333,3.251666667,4.168333333
Punjab,49.89833333,50.055,22.88166667,10.26083333
Rajasthan,78.625,100.5841667,23.41916667,6.5625
Tamil Nadu,125.2141667,113.6183333,56.75416667,12.34833333
U.P.(E),102.3183333,123.7291667,24.04666667,6.445833333
U.P.(W ),62.47833333,86.97833333,31.75833333,2.769166667
W est Bengal,45.38583333,98.825,26.23583333,5.131666667
