Circle,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,M ar-22,Apr-22,M ay-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,M ay-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24
Andhra Pradesh,93893800,93931150,94650178,94561273,93617486,93765729,93816183,93841197,92566177,92281740,92470113,91118244,90082936,89463423,89371501,89174909,89454241,89567675,89529808,89741521,89133818,89141911,88834706,88931697,89308478,89245097,89151609,89295463,89432826,89870490,89596214,89592337,89726409,89970103,90498270,90781580,91213397,91560463
Assam,25626442,25795511,26094242,26369887,26304714,26486331,26690435,26685599,25760032,25855734,25801218,25644738,25470506,25419312,25467111,25622498,25603292,25562408,25776488,25849743,25925147,26027344,26088902,26223719,26342897,26515698,26541038,26699392,26769565,26767969,26844714,27058065,27107870,27231695,27228941,27351236,27530729,27862753
Bihar,89985819,89873927,91042340,91149071,90756132,91344313,92068322,91942142,91671734,91392333,91802253,92207497,90733857,90615202,91096787,91755674,92779050,93895725,94677758,95513829,96061811,96182515,96426217,96088638,96049992,95743963,96515374,97100646,97402059,97854936,98269136,98104873,98505333,98586191,99087081,99645684,100163748,100583107
Delhi,59185134,59888463,60845467,61029871,60707324,60925868,60852355,60680280,58917943,59118917,59063710,59218592,58877945,58795051,59007534,59418506,59516605,59822030,59443753,59678141,59977623,60157963,60444146,60807990,61117535,61361167,61470452,61485674,61550486,61558101,61718428,62230808,62685340,62837584,63161700,63366324,63643309,63967700
Gujarat,72453072,73039282,73878455,74222891,74219108,74505792,74951426,74625810,73198831,73224051,73196377,71928353,71457614,71440257,71779786,71807482,71906526,71890142,71760704,71652996,71085654,70788214,70763623,70599334,70527305,70468484,70817183,71005270,70940455,70883583,70946370,71162115,70768575,70507409,70892432,71250430,70898395,71273408
Haryana,28872753,29267539,29603281,29670156,29702706,29732431,29957122,30017664,29733813,29724064,29587922,29359033,28926141,28981876,28936139,29003676,28350879,28855972,28536925,28408206,28493561,28464870,28524124,28483403,28419891,28360914,28452310,28391141,28309909,28324884,28389792,28256219,28193171,28286536,28382811,28540052,28627170,28654164
Himachal Pradesh,11805040,11775433,11844753,11808733,11766251,11508584,11570085,11623734,11031722,11046454,11104614,10984317,10866150,10848369,10806356,10771417,10554882,10404655,10431350,10418207,10431105,10446295,10401569,10213461,9406178,9355844,9389154,9357461,9379420,9391640,9446779,9510417,9521780,9458901,9449870,9457603,9444049,9453441
J & K,12698781,12718834,12816635,12742837,12691227,12742175,12760624,12786620,12538184,12507874,12615024,12668960,12686644,12726121,12842647,13020296,13185337,12650285,12820545,12926051,13006471,13009035,13006838,13014520,13002660,12931283,12991907,13024948,13115375,13218678,13345742,13227031,13274184,13259736,13196649,13181740,13092804,13052794
Karnataka,73077443,73604115,74332439,74099049,73616492,73613939,73607040,73790651,72723228,72628313,72558441,72259052,71241537,70925112,70740659,71004393,71251096,71384451,71616046,71705781,72098922,72147981,72724536,72800555,72734750,72607285,72471054,72253309,72021594,72372000,72732918,72574660,72229392,72347981,72675286,72957460,73355315,73647020
Kerala,48374524,48533274,48346508,48775888,48735019,48761113,49134486,49156977,47683624,47781640,47924462,47952036,47574086,47223761,46929135,46747120,46558612,46405202,46350956,46291642,46222236,46013048,46062276,46038069,46125285,46092627,45981906,45821790,45773781,45863408,45983545,46238575,46176299,46000698,45970202,45983407,46093333,45967112
Kolkata,28307654,28354523,28716012,28639685,28293631,28305352,28375174,28345309,26856066,26576423,26505785,26469701,26122590,25906288,25905608,26011047,25803297,25817163,26041044,25981413,25937408,25923700,26014509,26089649,26151748,26197156,26199042,26201739,26121752,26118960,26084233,26153318,26228355,26104572,26180987,26083519,26096370,25979212
Madhya Pradesh,80588684,81189963,82524322,82876056,82844938,83249839,83960064,84122726,83748216,84268914,84375230,82252208,82117758,81412423,81683518,81535163,82074135,82302591,82544669,82660969,81858271,81591973,81258732,81369686,81574149,81582000,81891048,82155997,82276933,82490673,82788432,82940368,83075686,83212778,83516536,83960659,84360308,84945267
M aharashtra,99385229,100128537,100982705,100817640,100333182,100722239,101382619,101012078,99944563,100368342,100478839,98470655,98499261,98305917,98372271,97551030,97854120,98437112,98461670,98314663,97811104,97514381,97294404,97570770,97679175,97398714,97610170,97571290,97610054,98182375,98795974,99252250,99627893,99734020,99757086,99691951,99651746,99815029
M umbai,39833261,41611312,42741162,42195270,42061469,42301210,42553306,42728700,40194248,40247051,40224572,39141881,39228948,39182865,39244779,39465963,39476641,39250100,38970094,38947785,38904843,39063125,38975162,39125325,39459532,39638393,39466515,39128790,39294701,39119344,39163190,39121868,39221687,39383029,39577210,39716478,39646946,39687167
North East,13010051,13069378,13181462,13206926,13174277,13253475,13247980,13261436,12781432,12810996,12835265,12761811,12670731,12640693,12687044,12808769,12856884,12757431,12828635,12889313,12936567,12913596,12943803,12950389,13036805,13063749,13193117,13195002,13199537,13148440,13178423,13207781,13232300,13234338,13265276,13358736,13358977,13423521
Odisha,35763725,35930883,36283477,36444839,36453708,36788514,37093333,36940441,35747241,35446118,35412429,35153482,34811409,34509077,34499300,34553251,34818029,34808136,34927717,35033446,35099201,35175522,35282305,35347592,35379223,35108851,35231724,35310323,35427386,35519545,35701631,35755510,35343751,35514620,35303221,35421056,35576885,35707527
Punjab,40381682,41165737,41518683,41674066,41509273,41627180,41868324,42077421,40695057,40865298,40934441,40540544,39961129,39924044,39834081,39135856,39205928,39228807,39259368,39240005,38708243,38796191,38694840,38786090,38710667,38686732,38719363,38527802,38440450,38383835,38363675,38241986,38186587,38084179,38210254,38383038,38624274,38681046
Rajasthan,69389784,69598995,70106191,69903533,69401223,69401591,69474811,69364458,68580650,68614540,68811948,67182699,66800492,66507776,67068938,66755127,66963774,67058437,67238220,67407944,67312596,67032118,66918220,67128187,67235581,67441571,67650200,67823255,68049826,67882524,67959584,68748569,69768624,70075826,70031740,70340070,70507806,70662671
Tamil Nadu,86957907,87259654,88883087,89196864,88793775,88940171,88985324,89452747,87990363,87702216,87957113,87403665,86550126,85969660,85260894,85359681,85463308,85431439,84743739,84602049,84439080,84357334,84811133,85048597,85134906,85216521,85310698,85286511,84651872,83458977,83760697,84081087,84469504,84506070,84878435,85085869,85183508,85775458
U.P.(E),104636321,105197604,106228780,106860268,106428244,106976583,108388056,108153136,107521663,107794154,107486847,106079149,105684977,106217561,106213791,106639061,107256140,107446577,107302822,107392413,106487555,106111594,106023146,105610373,105047188,104707980,105202552,105425456,105343816,106018244,106108883,106303786,106243473,106237462,106501863,107519938,107632819,108127326
U.P.(W ),65988336,66552787,67232604,67535340,67115193,67428817,68358541,68598822,68214182,68387715,68732976,67985324,67881018,67779149,67922976,67940725,68335826,68372603,68546129,68502160,68141729,67843517,67261325,66881360,66815730,66704004,66660735,66222354,66337388,66339336,66487230,66468258,66343080,66409875,66700620,67090813,67298373,67612694
W est Bengal,58253691,58803081,59402814,59868064,59903457,60314455,60827590,60854641,60511337,60459789,60717818,60545421,59681997,59553856,59609469,60126373,60001430,60254392,60530715,60677343,60439158,60197159,59930683,59789660,60031469,60002027,60037454,59860332,59749162,59819752,60028344,59941379,60256208,60442173,60552452,60678686,60913445,61194272
